Reference, Quantity Single,Quantity Full, Value, Datasheet, Part Number, DigiKey Price,Total Price,,Total
C101 C102 C501 C504 ,4,12,10u 16V,~,CL21A106KOQNNWE,0.24,2.88,,152.046
C104 ,1,3,1000u 50V,~,UVR1H102MHD1TO,1.66,4.98,,
C105 C103 ,2,6,1u 16V,~,885012207051,0.16,0.96,,
C202 ,1,3,100u 6.3V,https://www.we-online.de/katalog/datasheet/865080142007.pdf,865080142007,0.32,0.96,,
C203 ,1,3,150n 16V,~,CL21B154KOANNNC,0.16,0.48,,
C204 C208 C201 C301 C303 ,5,15,100n 16V,~,885012207045,0.086,1.29,,
C205 ,1,3,2.2u 16V,~,L21A225KOFNNNE,0.26,0.78,,
C206 ,1,3,680n 16V,~,CL21B684KOFNNNG,0.16,0.48,,
C207 ,1,3,1.2u 16V,~,"C0805C125K4PAC7800	",0.67,2.01,,
C302 ,1,3,15n 16V,~,885012207040,0.16,0.48,,
C402 C401 ,2,6,1u 50V,https://www.we-online.de/katalog/datasheet/865080640001.pdf,865080640001,0.29,1.74,,
C403 ,1,3,10u 700V,https://content.kemet.com/datasheets/KEM_F3125_C4AQ_M.pdf,C4AQJLU5100M19J,5.67,17.01,,
C502 C503 ,2,6,0.47u 50V,~,CL21B474KBFNNNG,0.16,0.96,,
D501 D502 ,2,6,"UG1B-E3/54",https://media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/UG1A-UG1D.pdf,UG1B-E3/54,0.77,4.62,,
L401 L402 ,2,6,150u,https://belfuse.com/resources/datasheets/signaltransformer/ds-st-high-current-torodial-inductors-series.pdf,HCTI-150-5.0,4.2,25.2,,
Q501 Q502 Q503 Q504 ,4,12,PHP23NQ11T,https://assets.nexperia.com/documents/data-sheet/PHP23NQ11T.pdf,"PHP23NQ11T,127",1.705,20.46,,
R101 R102 R201 R204 R301 R304 R303 R501 R506 ,9,27,10k,~,RC0805JR-0710KL,0.058,1.566,,
R202 ,1,3,4.3k,~,RC0805JR-074K3L,0.16,0.48,,
R203 ,1,3,5.6k,~,RC0805JR-075K6L,0.16,0.48,,
R205 ,1,3,1.5k,~,CRCW08051K50FKEAC,0.16,0.48,,
R206 ,1,3,2.4k,~,ERA-6AED242V,0.16,0.48,,
R207 ,1,3,8.2k,~,RC0805JR-078K2L,0.16,0.48,,
R208 ,1,3,15k,~,RC0805JR-0715KL,0.16,0.48,,
R302 ,1,3,1k,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,RC0805JR-0710KL,0.16,0.48,,
R504 R505 R503 R502 ,4,12,10,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,ERJ-6ENF10R0V,0.12,1.44,,
RV201 ,1,3,20k,https://www.nidec-copal-electronics.com/e/catalog/trimmer/ct-6.pdf,CT6EP203,1.25,3.75,,
RV301 ,1,3,5k,https://www.nidec-copal-electronics.com/e/catalog/trimmer/ct-6.pdf,CT6EP502,1.25,3.75,,
RV302 ,1,3,1k,https://www.nidec-copal-electronics.com/e/catalog/trimmer/ct-6.pdf,CT6EP102,1.25,3.75,,
U101 ,1,3,NCP1117-12_TO252,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,NCP1117DT12G,1.18,3.54,,
U102 ,1,3,MCP1799T-5002H_TT,http://ww1.microchip.com/downloads/en/DeviceDoc/MCP1799-Data-Sheet-20006248A.pdf,MCP1799T-5002H/TT,0.62,1.86,,
U201 ,1,3,LM324,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,LM324DR,0.62,1.86,,
U301 ,1,3,TL972,https://www.ti.com/lit/ds/symlink/tl971.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1628641427496&ref_url=https%253A%252F%252Fwww.digikey.co.nz%252F,TL972IDR,1.47,4.41,,
U302 ,1,3,LMV393,https://www.ti.com/lit/ds/symlink/lmv393-n.pdf?ts=1628637593750&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLMV393-N%253Fqgpn%253Dlmv393-n,LMV393S-13,0.75,2.25,,
U501 U502 ,2,6,IR21834,https://www.infineon.com/dgdl/ir2183.pdf?fileId=5546d462533600a4015355c9490e16d1,IR21834SPBFDKR-ND,5.87,35.22,,
